Scenario,HazardEffect_BUSD,ExposureEffect_BUSD,InteractionEffect_BUSD,TotalIncrease_BUSD,Hazard_pct,Exposure_pct,Interaction_pct
Hist,0,0,0,0,NaN,NaN,NaN
N-SSP1,0.245848770230868,0.981415693772115,0.794149642708763,2.02141410671175,12.1622170051436,48.5509471074481,39.2868358874083
N-SSP2,0.264817109887401,0.981415693772115,0.813633160917087,2.0598659645766,12.8560359965864,47.6446385662691,39.4993254371445
N-SSP5,0.292426333351303,0.981415693772115,0.955323715050374,2.22916574217379,13.1181960954658,44.0261428392076,42.8556610653267
F-SSP1,0.321032028388005,1.46388372089871,1.681252548168,3.46616829745471,9.2618707702031,42.2334865267124,48.5046427030845
F-SSP2,0.462725238618922,1.46388372089871,2.37777258052751,4.30438154004514,10.750098110821,34.0091534005455,55.2407484886335
F-SSP5,0.797487967604643,1.46388372089871,4.54512344714668,6.80649513565004,11.7165729455631,21.5071588493673,66.7762682050695
