Scenario,Hazard_GW,Exposure_GW,Synergy_GW,TotalIncrease_GW,Hazard_pct,Exposure_pct,Synergy_pct
N-SSP1-2.6,1.38752477313051,4.91926771823807,3.57208100150544,9.87887349287401,14.0453744460983,49.7958367599961,36.1587887939056
N-SSP2-4.5,1.48771569010941,4.91926771823807,3.66938423425213,10.0763676425996,14.7644046235455,48.8198514853805,36.415743891074
N-SSP5-8.5,1.67010550461076,4.91926771823807,4.37359106006306,10.9629642829119,15.2340686470535,44.8716933786402,39.8942379743063
F-SSP1-2.6,1.81080545616398,7.44767917258669,7.65786435906659,16.9163489878173,10.7044697261098,44.0265164661141,45.2690138077761
F-SSP2-4.5,2.59471599271951,7.44767917258669,10.9261947949275,20.9685899602337,12.3742988805652,35.5182641594452,52.1074369599896
F-SSP5-8.5,4.43118529211396,7.44767917258669,20.7181677366883,32.5970322013889,13.593830458974,22.8477216164156,63.5584479246104
